State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year
Maine,ME,4,JIMMY CARTER,42.3,220974,RONALD REAGAN,45.6,238522,1980
Vermont,VT,3,JIMMY CARTER,38.4,81952,RONALD REAGAN,44.4,94628,1980
New Hampshire,NH,4,JIMMY CARTER,28.4,108864,RONALD REAGAN,57.7,221705,1980
New Jersey,NJ,17,JIMMY CARTER,38.6,1147364,RONALD REAGAN,52,1546557,1980
Connecticut,CT,8,JIMMY CARTER,38.5,541732,RONALD REAGAN,48.2,677210,1980
Kentucky,KY,9,JIMMY CARTER,47.6,616417,RONALD REAGAN,49.1,635274,1980
Arkansas,AR,6,JIMMY CARTER,47.5,398041,RONALD REAGAN,48.1,403164,1980
Tennessee,TN,10,JIMMY CARTER,48.4,783051,RONALD REAGAN,48.7,787761,1980
North Carolina,NC,13,JIMMY CARTER,47.2,875635,RONALD REAGAN,49.3,915018,1980
South Carolina,SC,8,JIMMY CARTER,48.1,430385,RONALD REAGAN,49.4,441841,1980
Louisiana,LA,10,JIMMY CARTER,45.7,708453,RONALD REAGAN,51.2,792853,1980
Mississippi,MS,7,JIMMY CARTER,48.1,429281,RONALD REAGAN,49.4,441089,1980
Alabama,AL,9,JIMMY CARTER,47.4,636730,RONALD REAGAN,48.8,654192,1980
Texas,TX,26,JIMMY CARTER,41.4,1881147,RONALD REAGAN,55.3,2510705,1980
Florida,FL,17,JIMMY CARTER,38.5,1419475,RONALD REAGAN,55.5,2046951,1980
Virginia,VA,12,JIMMY CARTER,40.3,752174,RONALD REAGAN,53,989609,1980
Oklahoma,OK,8,JIMMY CARTER,35,402026,RONALD REAGAN,60.5,695570,1980
Alaska,AK,3,JIMMY CARTER,26.4,41842,RONALD REAGAN,54.3,86112,1980
Washington,WA,9,JIMMY CARTER,37.3,650193,RONALD REAGAN,49.7,865244,1980
Montana,MT,4,JIMMY CARTER,32.4,118032,RONALD REAGAN,56.8,206814,1980
Idaho,ID,4,JIMMY CARTER,25.2,110192,RONALD REAGAN,66.5,290699,1980
Wyoming,WY,3,JIMMY CARTER,28,49427,RONALD REAGAN,62.6,110700,1980
Oregon,OR,6,JIMMY CARTER,38.7,456890,RONALD REAGAN,48.3,571044,1980
Nevada,NV,3,JIMMY CARTER,26.9,66666,RONALD REAGAN,62.5,155017,1980
Colorado,CO,7,JIMMY CARTER,31.1,367973,RONALD REAGAN,55.1,652264,1980
California,CA,45,JIMMY CARTER,35.9,3083661,RONALD REAGAN,52.7,4524858,1980
Utah,UT,4,JIMMY CARTER,20.6,124266,RONALD REAGAN,72.8,439687,1980
Arizona,AZ,6,JIMMY CARTER,28.2,246843,RONALD REAGAN,60.6,529688,1980
New Mexico,NM,4,JIMMY CARTER,36.7,167826,RONALD REAGAN,54.9,250779,1980
Minnesota,MN,10,WALTER MONDALE,49.7,1036364,RONALD REAGAN,49.5,1032603,1984
Dist. of Col.,DC,3,WALTER MONDALE,85.4,180408,RONALD REAGAN,13.7,29009,1984
North Dakota,ND,3,WALTER MONDALE,33.8,104429,RONALD REAGAN,64.8,200336,1984
Wisconsin,WI,11,WALTER MONDALE,45,995740,RONALD REAGAN,54.2,1198584,1984
Michigan,MI,20,WALTER MONDALE,40.2,1529638,RONALD REAGAN,59.2,2251571,1984
Illinois,IL,24,WALTER MONDALE,43.3,2086499,RONALD REAGAN,56.2,2707103,1984
South Dakota,SD,3,WALTER MONDALE,36.5,116113,RONALD REAGAN,63,200267,1984
Iowa,IA,8,WALTER MONDALE,45.9,605620,RONALD REAGAN,53.3,703088,1984
Indiana,IN,12,WALTER MONDALE,37.7,841481,RONALD REAGAN,61.7,1377230,1984
Ohio,OH,23,WALTER MONDALE,40.1,1825440,RONALD REAGAN,58.9,2678560,1984
Nebraska,NE,5,WALTER MONDALE,28.8,187866,RONALD REAGAN,70.6,460054,1984
Missouri,MO,11,WALTER MONDALE,40,848583,RONALD REAGAN,60,1274188,1984
Kansas,KS,7,WALTER MONDALE,32.6,333149,RONALD REAGAN,66.3,677296,1984
Rhode Island,RI,4,WALTER MONDALE,48,197106,RONALD REAGAN,51.7,212080,1984
Maine,ME,4,WALTER MONDALE,38.8,214515,RONALD REAGAN,60.8,336500,1984
Vermont,VT,3,WALTER MONDALE,40.8,95730,RONALD REAGAN,57.9,135865,1984
New Hampshire,NH,4,WALTER MONDALE,30.9,120395,RONALD REAGAN,68.6,267051,1984
New York,NY,36,WALTER MONDALE,45.8,3119609,RONALD REAGAN,53.8,3664763,1984
Massachusetts,MA,13,WALTER MONDALE,48.4,1239606,RONALD REAGAN,51.2,1310936,1984
Pennsylvania,PA,25,WALTER MONDALE,46,2228131,RONALD REAGAN,53.3,2584323,1984
New Jersey,NJ,16,WALTER MONDALE,39.2,1261323,RONALD REAGAN,60.1,1933630,1984
Connecticut,CT,8,WALTER MONDALE,38.8,569597,RONALD REAGAN,60.7,890877,1984
Delaware,DE,3,WALTER MONDALE,39.9,101656,RONALD REAGAN,59.8,152190,1984
West Virginia,WV,6,WALTER MONDALE,44.6,328125,RONALD REAGAN,55.1,405483,1984
Maryland,MD,10,WALTER MONDALE,47,787935,RONALD REAGAN,52.5,879918,1984
Georgia,GA,12,WALTER MONDALE,39.8,706628,RONALD REAGAN,60.2,1068722,1984
Kentucky,KY,9,WALTER MONDALE,39.4,539539,RONALD REAGAN,60,821702,1984
Virginia,VA,12,WALTER MONDALE,37.1,796250,RONALD REAGAN,62.3,1337078,1984
Arkansas,AR,6,WALTER MONDALE,38.3,338646,RONALD REAGAN,60.5,534774,1984
Tennessee,TN,11,WALTER MONDALE,41.6,711714,RONALD REAGAN,57.8,990212,1984
North Carolina,NC,13,WALTER MONDALE,37.9,824287,RONALD REAGAN,61.9,1346481,1984
South Carolina,SC,8,WALTER MONDALE,35.6,344459,RONALD REAGAN,63.6,615539,1984
Oklahoma,OK,8,WALTER MONDALE,30.7,385080,RONALD REAGAN,68.6,861530,1984
Louisiana,LA,10,WALTER MONDALE,38.2,651586,RONALD REAGAN,60.8,1037299,1984
Mississippi,MS,7,WALTER MONDALE,37.4,352192,RONALD REAGAN,61.9,582377,1984
Alabama,AL,9,WALTER MONDALE,38.3,551899,RONALD REAGAN,60.5,872849,1984
Texas,TX,29,WALTER MONDALE,36.1,1949276,RONALD REAGAN,63.6,3433428,1984
Florida,FL,21,WALTER MONDALE,34.7,1448816,RONALD REAGAN,65.3,2730350,1984
Hawaii,HI,4,WALTER MONDALE,43.8,147154,RONALD REAGAN,55.1,185050,1984
Alaska,AK,3,WALTER MONDALE,29.9,62007,RONALD REAGAN,66.7,138377,1984
Washington,WA,10,WALTER MONDALE,42.9,807352,RONALD REAGAN,55.8,1051670,1984
Montana,MT,4,WALTER MONDALE,38.2,146742,RONALD REAGAN,60.5,232450,1984
Idaho,ID,4,WALTER MONDALE,26.4,108510,RONALD REAGAN,72.4,297523,1984
Wyoming,WY,3,WALTER MONDALE,28.2,53370,RONALD REAGAN,70.5,133241,1984
Oregon,OR,7,WALTER MONDALE,43.7,536479,RONALD REAGAN,55.9,685700,1984
Nevada,NV,4,WALTER MONDALE,32,91655,RONALD REAGAN,65.8,188770,1984
Colorado,CO,8,WALTER MONDALE,35.1,454975,RONALD REAGAN,63.4,821817,1984
California,CA,47,WALTER MONDALE,41.3,3922519,RONALD REAGAN,57.5,5467009,1984
Utah,UT,5,WALTER MONDALE,24.7,155369,RONALD REAGAN,74.5,469105,1984
Arizona,AZ,7,WALTER MONDALE,32.5,333854,RONALD REAGAN,66.4,681416,1984
New Mexico,NM,5,WALTER MONDALE,39.2,201769,RONALD REAGAN,59.7,307101,1984
Minnesota,MN,10,MICHAEL S. DUKAKIS,52.9,1109471,GEORGE BUSH,45.9,962337,1988
Wisconsin,WI,11,MICHAEL S. DUKAKIS,51.4,1126794,GEORGE BUSH,47.8,1047499,1988
Iowa,IA,8,MICHAEL S. DUKAKIS,54.7,670557,GEORGE BUSH,44.5,545355,1988
Dist. of Col.,DC,3,MICHAEL S. DUKAKIS,82.6,159407,GEORGE BUSH,14.3,27590,1988
New York,NY,36,MICHAEL S. DUKAKIS,51.6,3347882,GEORGE BUSH,47.5,3081871,1988
Rhode Island,RI,4,MICHAEL S. DUKAKIS,55.6,225123,GEORGE BUSH,43.9,177761,1988
Massachusetts,MA,13,MICHAEL S. DUKAKIS,53.2,1401415,GEORGE BUSH,45.4,1194635,1988
West Virginia,WV,5,MICHAEL S. DUKAKIS,52.2,341016,GEORGE BUSH,47.5,310065,1988
Washington,WA,10,MICHAEL S. DUKAKIS,50,933516,GEORGE BUSH,48.5,903835,1988
Oregon,OR,7,MICHAEL S. DUKAKIS,51.3,616206,GEORGE BUSH,46.6,560126,1988
Hawaii,HI,4,MICHAEL S. DUKAKIS,54.3,192364,GEORGE BUSH,44.8,158625,1988
North Dakota,ND,3,MICHAEL S. DUKAKIS,43,127739,GEORGE BUSH,56,166559,1988
Michigan,MI,20,MICHAEL S. DUKAKIS,45.7,1675783,GEORGE BUSH,53.6,1965486,1988
Illinois,IL,24,MICHAEL S. DUKAKIS,48.6,2215940,GEORGE BUSH,50.7,2310939,1988
South Dakota,SD,3,MICHAEL S. DUKAKIS,46.5,145560,GEORGE BUSH,52.8,165415,1988
Indiana,IN,12,MICHAEL S. DUKAKIS,39.7,860643,GEORGE BUSH,59.8,1297763,1988
Ohio,OH,23,MICHAEL S. DUKAKIS,44.1,1939629,GEORGE BUSH,55,2416549,1988
Nebraska,NE,5,MICHAEL S. DUKAKIS,39.2,259235,GEORGE BUSH,60.2,397956,1988
Missouri,MO,11,MICHAEL S. DUKAKIS,47.8,1001619,GEORGE BUSH,51.8,1084953,1988
Kansas,KS,7,MICHAEL S. DUKAKIS,42.6,422636,GEORGE BUSH,55.8,554049,1988
Maine,ME,4,MICHAEL S. DUKAKIS,43.9,243569,GEORGE BUSH,55.3,307131,1988
Vermont,VT,3,MICHAEL S. DUKAKIS,47.6,115775,GEORGE BUSH,51.1,124331,1988
New Hampshire,NH,4,MICHAEL S. DUKAKIS,36.3,163696,GEORGE BUSH,62.4,281537,1988
Pennsylvania,PA,25,MICHAEL S. DUKAKIS,48.4,2194944,GEORGE BUSH,50.7,2300087,1988
New Jersey,NJ,16,MICHAEL S. DUKAKIS,42.6,1320352,GEORGE BUSH,56.2,1743192,1988
Connecticut,CT,8,MICHAEL S. DUKAKIS,46.9,676584,GEORGE BUSH,52,750241,1988
Delaware,DE,3,MICHAEL S. DUKAKIS,43.5,108647,GEORGE BUSH,55.9,139639,1988
Kentucky,KY,9,MICHAEL S. DUKAKIS,43.9,580368,GEORGE BUSH,55.5,734281,1988
Maryland,MD,10,MICHAEL S. DUKAKIS,48.2,826304,GEORGE BUSH,51.1,876167,1988
Virginia,VA,12,MICHAEL S. DUKAKIS,39.2,859799,GEORGE BUSH,59.7,1309162,1988
Arkansas,AR,6,MICHAEL S. DUKAKIS,42.2,349237,GEORGE BUSH,56.4,466578,1988
Tennessee,TN,11,MICHAEL S. DUKAKIS,41.5,679794,GEORGE BUSH,57.9,947233,1988
North Carolina,NC,13,MICHAEL S. DUKAKIS,41.7,890167,GEORGE BUSH,58,1237258,1988
South Carolina,SC,8,MICHAEL S. DUKAKIS,37.6,370554,GEORGE BUSH,61.5,606443,1988
Oklahoma,OK,8,MICHAEL S. DUKAKIS,41.3,483423,GEORGE BUSH,57.9,678367,1988
Louisiana,LA,10,MICHAEL S. DUKAKIS,44.1,717460,GEORGE BUSH,54.3,883702,1988
Mississippi,MS,7,MICHAEL S. DUKAKIS,39.1,363921,GEORGE BUSH,59.9,557890,1988
Alabama,AL,9,MICHAEL S. DUKAKIS,39.9,549506,GEORGE BUSH,59.2,815576,1988
Georgia,GA,12,MICHAEL S. DUKAKIS,39.5,714792,GEORGE BUSH,59.8,1081331,1988
Texas,TX,29,MICHAEL S. DUKAKIS,43.3,2352748,GEORGE BUSH,56,3036829,1988
Florida,FL,21,MICHAEL S. DUKAKIS,38.5,1656701,GEORGE BUSH,60.9,2618885,1988
Alaska,AK,3,MICHAEL S. DUKAKIS,36.3,72584,GEORGE BUSH,59.6,119251,1988
Montana,MT,4,MICHAEL S. DUKAKIS,46.2,168936,GEORGE BUSH,52.1,190412,1988
Idaho,ID,4,MICHAEL S. DUKAKIS,36,147272,GEORGE BUSH,62.1,253881,1988
Wyoming,WY,3,MICHAEL S. DUKAKIS,38,67113,GEORGE BUSH,60.5,106867,1988
Nevada,NV,4,MICHAEL S. DUKAKIS,37.9,132738,GEORGE BUSH,58.9,206040,1988
Colorado,CO,8,MICHAEL S. DUKAKIS,45.3,621453,GEORGE BUSH,53.1,728177,1988
California,CA,47,MICHAEL S. DUKAKIS,47.6,4702233,GEORGE BUSH,51.1,5054917,1988
Utah,UT,5,MICHAEL S. DUKAKIS,32,207343,GEORGE BUSH,66.2,428442,1988
Arizona,AZ,7,MICHAEL S. DUKAKIS,38.7,454029,GEORGE BUSH,60,702541,1988
New Mexico,NM,5,MICHAEL S. DUKAKIS,46.9,244497,GEORGE BUSH,51.9,270341,1988
Minnesota,MN,10,BILL CLINTON,43.5,1020997,GEORGE BUSH,31.9,747841,1992
Wisconsin,WI,11,BILL CLINTON,41.1,1041066,GEORGE BUSH,36.8,930855,1992
Iowa,IA,7,BILL CLINTON,43.3,586353,GEORGE BUSH,37.3,504891,1992
Michigan,MI,18,BILL CLINTON,43.8,1871182,GEORGE BUSH,36.4,1554940,1992
Illinois,IL,22,BILL CLINTON,48.6,2453350,GEORGE BUSH,34.3,1734096,1992
Ohio,OH,21,BILL CLINTON,40.2,1984942,GEORGE BUSH,38.3,1894310,1992
Missouri,MO,11,BILL CLINTON,44.1,1053873,GEORGE BUSH,33.9,811159,1992
New York,NY,33,BILL CLINTON,49.7,3444450,GEORGE BUSH,33.9,2346649,1992
Rhode Island,RI,4,BILL CLINTON,47,213299,GEORGE BUSH,29,131601,1992
Massachusetts,MA,12,BILL CLINTON,47.5,1318662,GEORGE BUSH,29,805049,1992
Dist. of Col.,DC,3,BILL CLINTON,84.6,192619,GEORGE BUSH,9.1,20698,1992
Maine,ME,4,BILL CLINTON,38.8,263420,GEORGE BUSH,30.4,206504,1992
Vermont,VT,3,BILL CLINTON,46.1,133592,GEORGE BUSH,30.4,88122,1992
New Hampshire,NH,4,BILL CLINTON,38.9,209040,GEORGE BUSH,37.6,202484,1992
Pennsylvania,PA,23,BILL CLINTON,45.1,2239164,GEORGE BUSH,36.1,1791841,1992
New Jersey,NJ,15,BILL CLINTON,43,1436206,GEORGE BUSH,40.6,1356865,1992
Connecticut,CT,8,BILL CLINTON,42.2,682318,GEORGE BUSH,35.8,578313,1992
Delaware,DE,3,BILL CLINTON,43.5,126054,GEORGE BUSH,35.3,102313,1992
West Virginia,WV,5,BILL CLINTON,48.4,331001,GEORGE BUSH,35.4,241974,1992
Kentucky,KY,8,BILL CLINTON,44.6,665104,GEORGE BUSH,41.3,617178,1992
Maryland,MD,10,BILL CLINTON,49.8,988571,GEORGE BUSH,35.6,707094,1992
Arkansas,AR,6,BILL CLINTON,53.2,505823,GEORGE BUSH,35.5,337324,1992
Tennessee,TN,11,BILL CLINTON,47.1,933521,GEORGE BUSH,42.4,841300,1992
Louisiana,LA,9,BILL CLINTON,45.6,815971,GEORGE BUSH,41,733386,1992
Georgia,GA,13,BILL CLINTON,43.5,1008966,GEORGE BUSH,42.9,995252,1992
Washington,WA,11,BILL CLINTON,43.4,993037,GEORGE BUSH,32,731234,1992
Oregon,OR,7,BILL CLINTON,42.5,621314,GEORGE BUSH,32.5,475757,1992
Hawaii,HI,4,BILL CLINTON,48.1,179310,GEORGE BUSH,36.7,136822,1992
Montana,MT,3,BILL CLINTON,37.6,154507,GEORGE BUSH,35.1,144207,1992
Nevada,NV,4,BILL CLINTON,37.4,189148,GEORGE BUSH,34.7,175828,1992
Colorado,CO,8,BILL CLINTON,40.1,629681,GEORGE BUSH,35.9,562850,1992
California,CA,54,BILL CLINTON,46,5121325,GEORGE BUSH,32.6,3630574,1992
New Mexico,NM,5,BILL CLINTON,45.9,261617,GEORGE BUSH,37.3,212824,1992
North Dakota,ND,3,BILL CLINTON,32.2,99168,GEORGE BUSH,44.2,136244,1992
South Dakota,SD,3,BILL CLINTON,37.1,124888,GEORGE BUSH,40.7,136718,1992
Indiana,IN,12,BILL CLINTON,36.8,848420,GEORGE BUSH,42.9,989375,1992
Nebraska,NE,5,BILL CLINTON,29.4,216864,GEORGE BUSH,46.6,343678,1992
Kansas,KS,6,BILL CLINTON,33.7,390434,GEORGE BUSH,38.9,449951,1992
Virginia,VA,13,BILL CLINTON,40.6,1038650,GEORGE BUSH,45,1150517,1992
North Carolina,NC,14,BILL CLINTON,42.7,1114042,GEORGE BUSH,43.4,1134661,1992
South Carolina,SC,8,BILL CLINTON,39.9,479514,GEORGE BUSH,48,577507,1992
Oklahoma,OK,8,BILL CLINTON,34,473066,GEORGE BUSH,42.6,592929,1992
Mississippi,MS,7,BILL CLINTON,40.8,400258,GEORGE BUSH,49.7,487793,1992
Alabama,AL,9,BILL CLINTON,40.9,690080,GEORGE BUSH,47.6,804283,1992
Texas,TX,32,BILL CLINTON,37.1,2281815,GEORGE BUSH,40.6,2496071,1992
Florida,FL,25,BILL CLINTON,39,2072698,GEORGE BUSH,40.9,2173310,1992
Alaska,AK,3,BILL CLINTON,30.3,78294,GEORGE BUSH,39.5,102000,1992
Idaho,ID,4,BILL CLINTON,28.4,137013,GEORGE BUSH,42,202645,1992
Wyoming,WY,3,BILL CLINTON,34,68160,GEORGE BUSH,39.6,79347,1992
Utah,UT,5,BILL CLINTON,24.7,183429,GEORGE BUSH,43.4,322632,1992
Arizona,AZ,8,BILL CLINTON,36.5,543050,GEORGE BUSH,38.5,572086,1992﻿
Minnesota,MN,10,BILL CLINTON,51.1,1120438,ROBERT DOLE ,35,766476,1996
Wisconsin,WI,11,BILL CLINTON,48.8,1071971,ROBERT DOLE ,38.5,845029,1996
Michigan,MI,18,BILL CLINTON,51.7,1989653,ROBERT DOLE ,38.5,1481212,1996
Illinois,IL,22,BILL CLINTON,54.3,2341744,ROBERT DOLE ,36.8,1587021,1996
Iowa,IA,7,BILL CLINTON,50.3,620258,ROBERT DOLE ,39.9,492644,1996
Ohio,OH,21,BILL CLINTON,47.4,2148222,ROBERT DOLE ,41,1859883,1996
Missouri,MO,11,BILL CLINTON,47.5,1025935,ROBERT DOLE ,41.2,890016,1996
Maine,ME,4,BILL CLINTON,51.6,312788,ROBERT DOLE ,30.8,186378,1996
Vermont,VT,3,BILL CLINTON,53.4,137894,ROBERT DOLE ,31.1,80352,1996
New Hampshire,NH,4,BILL CLINTON,49.3,246214,ROBERT DOLE ,39.4,196532,1996
New York,NY,33,BILL CLINTON,59.5,3756177,ROBERT DOLE ,30.6,1933492,1996
Rhode Island,RI,4,BILL CLINTON,59.7,233050,ROBERT DOLE ,26.8,104683,1996
Massachusetts,MA,12,BILL CLINTON,61.5,1571763,ROBERT DOLE ,28.1,718107,1996
Pennsylvania,PA,23,BILL CLINTON,49.2,2215819,ROBERT DOLE ,40,1801169,1996
New Jersey,NJ,15,BILL CLINTON,53.7,1652329,ROBERT DOLE ,35.9,1103078,1996
Connecticut,CT,8,BILL CLINTON,52.8,735740,ROBERT DOLE ,34.7,483109,1996
Dist. of Col.,DC,3,BILL CLINTON,85.2,158220,ROBERT DOLE ,9.3,17339,1996
Delaware,DE,3,BILL CLINTON,51.8,140355,ROBERT DOLE ,36.6,99062,1996
Kentucky,KY,8,BILL CLINTON,45.8,636614,ROBERT DOLE ,44.9,623283,1996
West Virginia,WV,5,BILL CLINTON,51.5,327812,ROBERT DOLE ,36.8,233946,1996
Maryland,MD,10,BILL CLINTON,54.3,966207,ROBERT DOLE ,38.3,681530,1996
Arkansas,AR,6,BILL CLINTON,53.7,475171,ROBERT DOLE ,36.8,325416,1996
Tennessee,TN,11,BILL CLINTON,48,909146,ROBERT DOLE ,45.6,863530,1996
Louisiana,LA,9,BILL CLINTON,52,927837,ROBERT DOLE ,39.9,712586,1996
Florida,FL,25,BILL CLINTON,48,2546870,ROBERT DOLE ,42.3,2244536,1996
Washington,WA,11,BILL CLINTON,49.8,1123323,ROBERT DOLE ,37.3,840712,1996
Oregon,OR,7,BILL CLINTON,47.2,649641,ROBERT DOLE ,39.1,538152,1996
Nevada,NV,4,BILL CLINTON,43.9,203974,ROBERT DOLE ,42.9,199244,1996
California,CA,54,BILL CLINTON,51.1,5119835,ROBERT DOLE ,38.2,3828380,1996
New Mexico,NM,5,BILL CLINTON,49.2,273495,ROBERT DOLE ,41.9,232751,1996
Hawaii,HI,4,BILL CLINTON,56.9,205012,ROBERT DOLE ,31.6,113943,1996
Arizona,AZ,8,BILL CLINTON,46.5,653288,ROBERT DOLE ,44.3,622073,1996
North Dakota,ND,3,BILL CLINTON,40.1,106905,ROBERT DOLE ,46.9,125050,1996
South Dakota,SD,3,BILL CLINTON,43,139333,ROBERT DOLE ,46.5,150543,1996
Indiana,IN,12,BILL CLINTON,41.6,887424,ROBERT DOLE ,47.1,1006693,1996
Nebraska,NE,5,BILL CLINTON,35,236761,ROBERT DOLE ,53.7,363467,1996
Kansas,KS,6,BILL CLINTON,36.1,387659,ROBERT DOLE ,54.3,583245,1996
Georgia,GA,13,BILL CLINTON,45.8,1053849,ROBERT DOLE ,47,1080843,1996
Virginia,VA,13,BILL CLINTON,45.1,1091060,ROBERT DOLE ,47.1,1138350,1996
North Carolina,NC,14,BILL CLINTON,44,1107849,ROBERT DOLE ,48.7,1225938,1996
South Carolina,SC,8,BILL CLINTON,44,506283,ROBERT DOLE ,49.8,573458,1996
Oklahoma,OK,8,BILL CLINTON,40.4,488105,ROBERT DOLE ,48.3,582315,1996
Mississippi,MS,7,BILL CLINTON,44.1,394022,ROBERT DOLE ,49.2,439838,1996
Alabama,AL,9,BILL CLINTON,43.2,662165,ROBERT DOLE ,50.1,769044,1996
Texas,TX,32,BILL CLINTON,43.8,2459683,ROBERT DOLE ,48.8,2736167,1996
Montana,MT,3,BILL CLINTON,41.3,167922,ROBERT DOLE ,44.1,179652,1996
Colorado,CO,8,BILL CLINTON,44.4,671152,ROBERT DOLE ,45.8,691848,1996
Alaska,AK,3,BILL CLINTON,33.3,80380,ROBERT DOLE ,50.8,122746,1996
Idaho,ID,4,BILL CLINTON,33.6,165443,ROBERT DOLE ,52.2,256595,1996
Wyoming,WY,3,BILL CLINTON,36.8,77934,ROBERT DOLE ,49.8,105388,1996
Utah,UT,5,BILL CLINTON,33.3,221633,ROBERT DOLE ,54.4,361911,1996
Minnesota,MN,10,AL GORE,47.9,1168266,GEORGE W. BUSH,45.5,1109659,2000
Wisconsin,WI,11,AL GORE,47.8,1242987,GEORGE W. BUSH,47.6,1237279,2000
Michigan,MI,18,AL GORE,51.3,2170418,GEORGE W. BUSH,46.1,1953139,2000
Illinois,IL,22,AL GORE,54.6,2589026,GEORGE W. BUSH,42.6,2019421,2000
Iowa,IA,7,AL GORE,48.5,638517,GEORGE W. BUSH,48.2,634373,2000
Maine,ME,4,AL GORE,49.1,319951,GEORGE W. BUSH,44,286616,2000
Vermont,VT,3,AL GORE,50.6,149022,GEORGE W. BUSH,40.7,119775,2000
New York,NY,33,AL GORE,60.2,4107697,GEORGE W. BUSH,35.2,2403374,2000
Rhode Island,RI,4,AL GORE,61,249508,GEORGE W. BUSH,31.9,130555,2000
Massachusetts,MA,12,AL GORE,59.8,1616487,GEORGE W. BUSH,32.5,878502,2000
Pennsylvania,PA,23,AL GORE,50.6,2485967,GEORGE W. BUSH,46.4,2281127,2000
New Jersey,NJ,15,AL GORE,56.1,1788850,GEORGE W. BUSH,40.3,1284173,2000
Connecticut,CT,8,AL GORE,55.9,816015,GEORGE W. BUSH,38.4,561094,2000
Dist. of Col.,DC,2,AL GORE,85.2,171923,GEORGE W. BUSH,9,18073,2000
Delaware,DE,3,AL GORE,55,180068,GEORGE W. BUSH,41.9,137288,2000
Maryland,MD,10,AL GORE,56.5,1140782,GEORGE W. BUSH,40.3,813797,2000
Washington,WA,11,AL GORE,50.2,1247652,GEORGE W. BUSH,44.6,1108864,2000
Oregon,OR,7,AL GORE,47,720342,GEORGE W. BUSH,46.5,713577,2000
California,CA,54,AL GORE,53.4,5861203,GEORGE W. BUSH,41.7,4567429,2000
New Mexico,NM,5,AL GORE,47.9,286783,GEORGE W. BUSH,47.8,286417,2000
Hawaii,HI,4,AL GORE,55.8,205286,GEORGE W. BUSH,37.5,137845,2000
Ohio,OH,21,AL GORE,46.4,2183628,GEORGE W. BUSH,50,2350363,2000
Missouri,MO,11,AL GORE,47.1,1111138,GEORGE W. BUSH,50.4,1189924,2000
North Dakota,ND,3,AL GORE,33.1,95284,GEORGE W. BUSH,60.7,174852,2000
South Dakota,SD,3,AL GORE,37.6,118804,GEORGE W. BUSH,60.3,190700,2000
Indiana,IN,12,AL GORE,41,901980,GEORGE W. BUSH,56.6,1245836,2000
Nebraska,NE,5,AL GORE,33.3,231780,GEORGE W. BUSH,62.2,433862,2000
Kansas,KS,6,AL GORE,37.2,399276,GEORGE W. BUSH,58,622332,2000
New Hampshire,NH,4,AL GORE,46.8,266348,GEORGE W. BUSH,48.1,273559,2000
Kentucky,KY,8,AL GORE,41.4,638898,GEORGE W. BUSH,56.5,872492,2000
West Virginia,WV,5,AL GORE,45.6,295497,GEORGE W. BUSH,51.9,336475,2000
Arkansas,AR,6,AL GORE,45.9,422768,GEORGE W. BUSH,51.3,472940,2000
Tennessee,TN,11,AL GORE,47.3,981720,GEORGE W. BUSH,51.1,1061949,2000
Louisiana,LA,9,AL GORE,44.9,792344,GEORGE W. BUSH,52.6,927871,2000
Florida,FL,25,AL GORE,48.8,2912253,GEORGE W. BUSH,48.8,2912790,2000
Virginia,VA,13,AL GORE,44.4,1217290,GEORGE W. BUSH,52.5,1437490,2000
North Carolina,NC,14,AL GORE,43.2,1257692,GEORGE W. BUSH,56,1631163,2000
South Carolina,SC,8,AL GORE,40.9,565561,GEORGE W. BUSH,56.8,785937,2000
Oklahoma,OK,8,AL GORE,38.4,474276,GEORGE W. BUSH,60.3,744337,2000
Mississippi,MS,7,AL GORE,40.7,404614,GEORGE W. BUSH,57.6,572844,2000
Alabama,AL,9,AL GORE,41.6,692611,GEORGE W. BUSH,56.5,941173,2000
Georgia,GA,13,AL GORE,43,1116230,GEORGE W. BUSH,54.7,1419720,2000
Texas,TX,32,AL GORE,38,2433746,GEORGE W. BUSH,59.3,3799639,2000
Nevada,NV,4,AL GORE,46,279978,GEORGE W. BUSH,49.5,301575,2000
Arizona,AZ,8,AL GORE,44.7,685341,GEORGE W. BUSH,51,781652,2000
Alaska,AK,3,AL GORE,27.7,79004,GEORGE W. BUSH,58.6,167398,2000
Montana,MT,3,AL GORE,33.4,137126,GEORGE W. BUSH,58.4,240178,2000
Idaho,ID,4,AL GORE,27.6,138637,GEORGE W. BUSH,67.2,336937,2000
Wyoming,WY,3,AL GORE,27.7,60481,GEORGE W. BUSH,67.8,147947,2000
Colorado,CO,8,AL GORE,42.4,738227,GEORGE W. BUSH,50.8,883748,2000
Utah,UT,5,AL GORE,26.3,203053,GEORGE W. BUSH,66.8,515096,2000
Minnesota,MN,9,JOHN KERRY,51.1,1445014,GEORGE W. BUSH,47.6,1346695,2004
Wisconsin,WI,10,JOHN KERRY,49.7,1489504,GEORGE W. BUSH,49.3,1478120,2004
Michigan,MI,17,JOHN KERRY,51.2,2479183,GEORGE W. BUSH,47.8,2313746,2004
Illinois,IL,21,JOHN KERRY,54.8,2891550,GEORGE W. BUSH,44.5,2345946,2004
Maine,ME,4,JOHN KERRY,53.6,396842,GEORGE W. BUSH,44.6,330201,2004
